22, 67, 2, 2, 1, 3
59, 162, 2, 1, 2, 2
6, 71, 2, 2, 2, 2
6, 166, 1, 1, 2, 1
73, 2, 1, 1, 2, 2
56, 53, 1, 2, 2, 1
27, 80, 2, 1, 1, 2
27, 147, 2, 1, 1, 2
59, 49, 2, 1, 2, 1
6, 153, 2, 2, 2, 2
22, 59, 2, 1, 1, 1
22, 35, 2, 2, 1, 2
59, 26, 1, 2, 2, 2
28, 30, 1, 1, 2, 2
59, 61, 1, 2, 2, 2
10, 96, 2, 2, 2, 2
27, 153, 2, 2, 1, 2
60, 16, 1, 1, 2, 1
62, 50, 2, 1, 2, 2
59, 80, 2, 1, 2, 2
62, 2, 2, 2, 2, 2
60, 143, 2, 2, 2, 2
59, 196, 2, 2, 2, 1
62, 169, 2, 1, 2, 1
56, 102, 1, 2, 2, 2
6, 52, 1, 2, 2, 1
56, 201, 1, 1, 2, 2
73, 187, 1, 1, 2, 2
27, 2, 2, 1, 1, 2
22, 19, 2, 1, 1, 1
73, 96, 1, 2, 2, 2
27, 169, 2, 2, 1, 1
27, 16, 2, 1, 1, 1
60, 52, 1, 2, 2, 1
10, 19, 2, 2, 2, 1
59, 100, 2, 2, 2, 3
56, 147, 1, 1, 2, 2
60, 2, 2, 1, 2, 2
59, 196, 2, 2, 2, 1
6, 47, 2, 2, 2, 2
27, 61, 1, 1, 1, 2
59, 16, 1, 1, 2, 1
56, 156, 1, 1, 2, 2
62, 50, 2, 1, 2, 2
6, 81, 1, 2, 2, 3
59, 157, 2, 1, 2, 1
73, 16, 1, 1, 2, 1
62, 169, 2, 1, 2, 1
22, 100, 2, 1, 1, 3
28, 4, 2, 1, 2, 2
60, 157, 2, 2, 2, 1
60, 162, 2, 1, 2, 2
10, 103, 2, 1, 2, 2
28, 61, 1, 2, 2, 2
59, 176, 2, 1, 2, 2
60, 166, 1, 2, 2, 1
73, 15, 2, 1, 2, 2
59, 153, 2, 2, 2, 2
73, 4, 2, 1, 2, 2
27, 195, 2, 1, 1, 2
