4, 32, 1, 1, -2, -2
65, 19, 1, 1, -2, -2
26, 200, 2, 1, -2, -2
57, 206, 2, 2, -2, -2
65, 190, 1, 2, -2, -2
26, 102, 1, 2, -2, -2
65, 156, 1, 1, -2, -2
4, 81, 2, 1, -2, -2
57, 54, 2, 1, -2, -2
26, 81, 2, 1, -2, -2
8, 140, 2, 1, -2, -2
23, 70, 1, 2, -2, -2
33, 185, 2, 2, -2, -2
26, 9, 2, 2, -2, -2
26, 70, 1, 2, -2, -2
57, 170, 1, 1, -2, -2
65, 71, 1, 2, -2, -2
57, 71, 1, 2, -2, -2
65, 185, 1, 1, -2, -2
57, 81, 1, 2, -2, -2
26, 140, 2, 2, -2, -2
8, 56, 1, 2, -2, -2
4, 16, 2, 2, -2, -2
26, 154, 2, 2, -2, -2
26, 171, 1, 2, -2, -2
8, 170, 1, 1, -2, -2
4, 109, 1, 2, -2, -2
8, 155, 1, 1, -2, -2
4, 70, 1, 1, -2, -2
33, 105, 2, 1, -2, -2
8, 214, 1, 2, -2, -2
8, 169, 1, 1, -2, -2
4, 34, 1, 1, -2, -2
23, 171, 1, 1, -2, -2
57, 171, 1, 2, -2, -2
33, 57, 2, 1, -2, -2
65, 71, 1, 2, -2, -2
33, 10, 1, 1, -2, -2
8, 173, 1, 1, -2, -2
65, 102, 1, 2, -2, -2
65, 174, 1, 1, -2, -2
26, 105, 2, 2, -2, -2
57, 154, 1, 1, -2, -2
65, 19, 2, 1, -2, -2
26, 197, 2, 2, -2, -2
65, 173, 1, 1, -2, -2
33, 217, 1, 2, -2, -2
33, 29, 2, 1, -2, -2
33, 97, 1, 2, -2, -2
8, 47, 1, 2, -2, -2
57, 102, 1, 1, -2, -2
65, 155, 1, 2, -2, -2
8, 171, 1, 1, -2, -2
23, 149, 1, 1, -2, -2
4, 55, 1, 1, -2, -2
33, 215, 1, 2, -2, -2
26, 34, 2, 2, -2, -2
57, 60, 1, 2, -2, -2
26, 119, 2, 1, -2, -2
26, 105, 2, 1, -2, -2
4, 32, 2, 1, -2, -2
65, 19, 1, 1, -2, -2
26, 200, 2, 1, -2, -2
57, 206, 2, 1, -2, -2
65, 190, 1, 1, -2, -2
26, 102, 2, 2, -2, -2
65, 156, 1, 2, -2, -2
4, 81, 1, 2, -2, -2
57, 54, 1, 1, -2, -2
26, 81, 2, 1, -2, -2
8, 140, 1, 1, -2, -2
23, 70, 1, 2, -2, -2
33, 185, 2, 2, -2, -2
26, 9, 2, 1, -2, -2
26, 70, 1, 1, -2, -2
57, 170, 2, 2, -2, -2
65, 71, 1, 1, -2, -2
57, 71, 1, 1, -2, -2
65, 185, 1, 1, -2, -2
57, 81, 1, 2, -2, -2
26, 140, 2, 2, -2, -2
8, 56, 2, 1, -2, -2
4, 16, 2, 2, -2, -2
26, 154, 2, 1, -2, -2
26, 171, 1, 2, -2, -2
8, 170, 1, 1, -2, -2
4, 109, 1, 1, -2, -2
8, 155, 1, 2, -2, -2
4, 70, 1, 2, -2, -2
33, 105, 2, 2, -2, -2
8, 214, 1, 1, -2, -2
8, 169, 1, 1, -2, -2
4, 34, 1, 1, -2, -2
23, 171, 2, 2, -2, -2
57, 171, 1, 2, -2, -2
33, 57, 1, 1, -2, -2
65, 71, 1, 2, -2, -2
33, 10, 1, 2, -2, -2
8, 173, 1, 1, -2, -2
65, 102, 1, 2, -2, -2
65, 174, 1, 2, -2, -2
26, 105, 2, 1, -2, -2
57, 154, 1, 1, -2, -2
65, 19, 1, 1, -2, -2
26, 197, 2, 2, -2, -2
65, 173, 1, 2, -2, -2
33, 217, 1, 2, -2, -2
33, 29, 2, 2, -2, -2
33, 97, 1, 1, -2, -2
8, 47, 1, 2, -2, -2
57, 102, 1, 1, -2, -2
65, 155, 1, 1, -2, -2
8, 171, 1, 2, -2, -2
23, 149, 1, 2, -2, -2
4, 55, 2, 1, -2, -2
33, 215, 1, 2, -2, -2
26, 34, 2, 2, -2, -2
57, 60, 2, 2, -2, -2
26, 119, 2, 1, -2, -2
26, 105, 2, 1, -2, -2
